"OBJECTID","Eradication ID","Common Name","Scientific Name","Type (Animal)","Year of Introduction","Data Quality","Eradication Start Date","Eradication End Date","Status (Eradication)","Type (Eradication)","Primary Eradication Method","Secondary Eradication Method","Tertiary Eradication Method","Primary Baiting Method","Secondary Baiting Method","Primary Toxicant","Secondary Toxicant","Contact Name","Contact Organization","Organization_Website","Island Code","Island Name","Region","Country","Archipelago","Latitude","Longitude","Area (sq km)","Human Population"
"58","72","House Mouse","Mus musculus","Rodent","null","Poor","1998","1998","Failed","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Broome; Keith","NZ Dept. of Conservation","null","464065","Matakohe (Limestone/Whangarei)","Pacific Ocean - South West","New Zealand","Whangarei Harbour","-35.7841761954","174.359218715","0.382269782947","None"
"59","73","Brown / Norway Rat","Rattus norvegicus","Rodent","null","Satisfactory","1996","1998","Successful","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","Broome; Keith","NZ Dept. of Conservation","null","464065","Matakohe (Limestone/Whangarei)","Pacific Ocean - South West","New Zealand","Whangarei Harbour","-35.7841761954","174.359218715","0.382269782947","None"
"63","77","Asian House Rat","Rattus tanezumi","Rodent","2000","Good","2008","2008","Successful","Whole Island","Toxicant","NA","NA","Hand Broadcast","Bait Station","Brodifacoum","NA","Thorson; Mike","NZ Dept. of Conservation","null","357148","McKean","Pacific Ocean - South East","Kiribati","Phoenix Islands","-3.5952695263","-174.122602181","0.564452737995","None"
"68","83","Black Rat","Rattus rattus","Rodent","null","Good","1992","1992","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","null","null","null","457562","Rey Francisco","Mediterranean","Spain","Chafarinas Archipelago","35.1808281258","-2.42223863","0.117059990666","None"
"119","140","Black Rat","Rattus rattus","Rodent","1918","Good","1983","1983","Successful","Whole Island","Toxicant","NA","NA","Bait Station","NA","Pindone","NA","Burbidge; A.A.","Department of Conservation and Land Management; Aus","null","331990","Double Islands North","Indian Ocean - East","Australia","Western Australia (Barrow Islands)","-20.7376821446","115.49499416","0.164900537842","None"
"120","141","Black Rat","Rattus rattus","Rodent","null","Good","2000","2000","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Merton; D.","NZ Dept. of Conservation","pestoff.co.nz","19644","Curieuse","Indian Ocean - West","Seychelles","Seychelles","-4.28282941774","55.72550979","2.907248395","1 - 10"
"121","142","Black Rat","Rattus rattus","Rodent","null","Good","2000","2000","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Merton; D.","NZ Dept. of Conservation","pestoff.co.nz","19656","Denis","Indian Ocean - West","Seychelles","Seychelles","-3.80519850786","55.6669783","1.27633287849","101 - 1000"
"122","143","Brown / Norway Rat","Rattus norvegicus","Rodent","null","Satisfactory","1990","1990","Successful","Whole Island","Toxicant","NA","NA","Unknown","NA","Unknown","NA","Broome; Keith","NZ Dept. of Conservation","null","464154","Taranaki","Pacific Ocean - South West","New Zealand","Bay of Islands","-35.2037758528","174.013583348","0.0159020598265","None"
"123","146","Polynesian Rat","Rattus exulans","Rodent","null","Satisfactory","1993","1993","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","Hand Broadcast","Brodifacoum","NA","Hawkins; K.","NZ Dept. of Conservation","null","26862","Whatupuke (Mauiroto)","Pacific Ocean - South West","New Zealand","Hen and Chicken Islands","-35.8895401099","174.75402948","0.903676672491","None"
"124","147","Brown / Norway Rat","Rattus norvegicus","Rodent","null","Satisfactory","null","1991","Successful (Reinvaded)","Whole Island","Toxicant","Trapping","NA","Hand Broadcast","NA","Bromadiolone","Flocoumafen","McFadden; I","NZ Dept. of Conservation","null","27034","Motuhoropapa","Pacific Ocean - South West","New Zealand","Hauraki Gulf","-36.6891009892","174.96384388","0.128552413114","None"
"125","148","Brown / Norway Rat","Rattus norvegicus","Rodent","null","Satisfactory","1991","1991","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Hand Broadcast","NA","Bromadiolone","Flocoumafen","McFadden; I","NZ Dept. of Conservation","null","27035","Otata (Otatou)","Pacific Ocean - South West","New Zealand","Hauraki Gulf","-36.6956951458","174.97513154","0.227750956177","None"
"126","149","House Mouse","Mus musculus","Rodent","null","Satisfactory","1993","1993","Failed","Whole Island","Toxicant","NA","NA","Bait Station","NA","Flocoumafen","NA","Wilson; T.","NZ Dept. of Conservation","null","26886","Te Haupa (Saddle)","Pacific Ocean - South West","New Zealand","Hauraki Gulf","-36.5116953034","174.74771442","0.0851061834485","None"
"127","150","Brown / Norway Rat","Rattus norvegicus","Rodent","null","Satisfactory","1992","1992","Failed","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","Lee; Mike","University of Auckland","null","26880","Rakino","Pacific Ocean - South West","New Zealand","Hauraki Gulf","-36.718499349","174.94776894","1.68773116478","11 - 100"
"128","151","Polynesian Rat","Rattus exulans","Rodent","1800","Satisfactory","1994","1994","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Hawkins; K.","NZ Dept. of Conservation","null","26833","Lady Alice (Mauimua)","Pacific Ocean - South West","New Zealand","Hen and Chicken Islands","-35.8898963974","174.72807436","1.42281234253","None"
"129","152","Brown / Norway Rat","Rattus norvegicus","Rodent","null","Satisfactory","1992","1992","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","Wilson; T.","NZ Dept. of Conservation","null","464077","Moturemu","Pacific Ocean - South West","New Zealand","Kaipara Harbor","-36.4222915907","174.393109947","0.0569671222888","None"
"130","153","Polynesian Rat","Rattus exulans","Rodent","null","Satisfactory","1997","1997","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","McFadden; I","NZ Dept. of Conservation","null","464086","East (Whangaokeno)","Pacific Ocean - South West","New Zealand","East Cape","-37.6905797848","178.576101806","0.205251487196","None"
"131","154","Black Rat","Rattus rattus","Rodent","null","Good","null","2005","Successful","Whole Island","Trapping","Toxicant","NA","Hand Broadcast","NA","Chlorophacinone","Bromadiolone","null","null","null","242063","Plane (Caleseragne)","Mediterranean","France","Marseille Islands (Riou Archipelago)","43.1878218601","5.38582425","0.151753953785","None"
"134","159","Polynesian Rat","Rattus exulans","Rodent","null","Satisfactory","2000","2001","Failed","Whole Island","Toxicant","NA","NA","Bait Station","Hand Broadcast","Brodifacoum","Chlorophacinone","null","null","null","459246","Vahanga","Pacific Ocean - South East","French Polynesia","Tuamotu Archipelago","-21.3328029727","-136.651637617","3.86083930738","None"
